Manufacturer;Model;Size;LCD Type;Resolution;Range;Interface;LFC;Freesync 2;HDR
Acer;XZ321Q;32";VA;1920x1080;48-144 via DisplayPort 48-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Acer;XZ321QU;32";IPS;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;Yes
Agon;AG241QG4/AG241QX;24";TN;2560x1440;30-144 via DisplayPort 30-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG241QX;24";TN;2560x1440;30-144 via DisplayPort 30-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG251FWG2/AG251FZ;25";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG251FWG4/AG251FX;25";TN;1920x1080;30-144 via DisplayPort 30-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG251FZ;25";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG271FG2/AG271FZ;27";TN;1920x1080;48-240 via DisplayPort 48-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG271FG4/AG271FX;27";TN;1920x1080;30-144 via DisplayPort 30-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG272FG4/AG272FCX;27";VA;1920x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG272FG4R/AG272FCX9;27";IPS;1920x1080;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG272QCX9;27";VA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG27FG4/AG272FCX;27";VA;1920x1080;48-144 via DisplayPort 144-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG322FCX;32";VA;1920x1080;48-144 via DisplayPort 48-120 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG322FWG4/AG322QCX;32";VA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG322QC4;32";VA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;Yes;Yes
Agon;AG322QCX;32";VA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG322QCX9;32";VA;2560x1440;48-144 via DisplayPort 48-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Agon;AG322QWG5B/AG322Q;32";IPS;2560x1440;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
Agon;AG352QCX;35";VA;2560x1080;30-200 via DisplayPort 30-200 via HDMI;DisplayPort™, HDMI®;Yes;No;No
Alienware;AW2518HF;25";TN;1920x1080;48-240 via DisplayPort 240-240 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;22V2WG5/ 22V2Q;22";IPS;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
AOC;22V2WG5/22V2H;22";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
AOC;24N1W1G5/ 24N1H;24";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
AOC;24V2W1G5 / 24V2Q;24";IPS;1920x1080;48-75 via DisplayPort 48-75 via HDMI;DisplayPort™, HDMI®;No;No;No
AOC;24V2W1G5/24V2H;24";IPS;1920x1080;48-75 via HDMI;HDMI®;Yes;No;No
AOC;2590G4/G2590PX;24";TN;1920x1080;30-144 via DisplayPort 30-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
AOC;2790WG5/G2790PX;27";TN;1920x1080;30-144 via DisplayPort 30-144 via HDMI;DisplayPort™, HDMI®;Yes;No;No
